accuracy,dice_coefficient,loss,val_accuracy,val_dice_coefficient,val_loss
0.56019932,0.575112581,1.109307051,0.687004983,0.604629636,0.964049459
0.585545659,0.603897214,0.998123527,0.703942239,0.611653209,0.920025051
0.59890908,0.617713749,0.960810959,0.706057131,0.639764547,0.89009583
0.600070298,0.624571502,0.95143795,0.707009912,0.655667067,0.88316232
0.606214345,0.627019703,0.942539871,0.71438843,0.625860929,0.886182249
0.61320889,0.632304311,0.925542057,0.714041114,0.663913012,0.855185449
0.615742683,0.636140406,0.918314874,0.736129165,0.646411538,0.84199506
0.632249117,0.64815253,0.880590439,0.752335787,0.660249949,0.808349609
0.63694346,0.652606666,0.871452808,0.763293445,0.669623733,0.784990251
0.654997945,0.664075494,0.834767342,0.760524273,0.693606436,0.758585036
0.663055897,0.675095201,0.813860714,0.77520144,0.669701993,0.765730202
0.665670037,0.672176123,0.811645389,0.772388279,0.709025025,0.730397463
0.6711815,0.683532953,0.795361876,0.78500855,0.706456304,0.717650831
0.679603994,0.684757471,0.783176959,0.7708655,0.716316879,0.723285139
0.677332044,0.688222408,0.78328824,0.790524304,0.702465415,0.712245703
0.684692621,0.692961693,0.765506864,0.768733501,0.730559289,0.721036434
0.682873547,0.693026066,0.767783642,0.771632075,0.733672857,0.715853751
0.685957491,0.696273327,0.763208807,0.800529778,0.719927073,0.685341477
0.686339974,0.694545865,0.762230694,0.785730004,0.730165482,0.692368746
0.693163574,0.705171645,0.741991818,0.800734878,0.719801426,0.67854178
0.696740627,0.706679523,0.735649884,0.805280745,0.721460938,0.672777236
0.69904685,0.707129598,0.732495427,0.807543933,0.726820529,0.662809432
0.701373279,0.712761998,0.721011281,0.810145855,0.73516798,0.650452852
0.705190182,0.714004636,0.715813518,0.811510623,0.739088118,0.645591259
0.705096185,0.71346575,0.716035903,0.799996972,0.750018656,0.654815972
0.704725206,0.719970763,0.708724737,0.811342776,0.747225225,0.637225091
0.711712778,0.718614519,0.701508641,0.815891087,0.753246307,0.627014399
0.711728871,0.72317493,0.696153879,0.814345717,0.755158901,0.625981271
0.71438843,0.72672981,0.688221395,0.814595342,0.754275084,0.622840941
0.718571663,0.730832934,0.678079903,0.822717309,0.751420557,0.612543166
0.716620624,0.730082691,0.68228668,0.82550782,0.755492449,0.607310891
0.717675149,0.731329203,0.677143753,0.819551408,0.755656362,0.611824751
0.721162498,0.731943905,0.673096895,0.810827017,0.763300896,0.625648439
0.720214605,0.733629823,0.672628105,0.819989622,0.760560036,0.607146502
0.723479509,0.738202631,0.662906468,0.829625845,0.751306832,0.605070531
0.724681914,0.736750245,0.661532819,0.829850435,0.767574668,0.588806689
0.727626443,0.742549062,0.651166201,0.813687146,0.771077752,0.619455874
0.725227058,0.741436839,0.657179296,0.833477795,0.761709929,0.58547157
0.725661755,0.740496635,0.65602535,0.834212065,0.770876765,0.578769803
0.727870584,0.743184209,0.651164949,0.835332632,0.759705544,0.58438772
0.731567383,0.745498717,0.641879976,0.832519531,0.777440727,0.577616096
0.732374012,0.748887718,0.637397349,0.832551241,0.775981784,0.577714264
0.731972754,0.74728334,0.639086962,0.839028955,0.774055183,0.567381859
0.728563488,0.745517373,0.645615578,0.827376723,0.77192843,0.59044534
0.730764508,0.750477672,0.637004495,0.835819066,0.776111841,0.571295977
0.735305309,0.752259493,0.629347384,0.837917507,0.775613308,0.566500723
0.736635387,0.752899349,0.626761675,0.838451564,0.776913106,0.563981533
0.736506343,0.753662944,0.625241399,0.836940944,0.776405632,0.567422152
0.737338126,0.754597783,0.6215837,0.839401245,0.782762289,0.560568929
0.737379014,0.758580863,0.617429137,0.842812479,0.777130961,0.557963431
0.670617461,0.681490779,0.830314636,0.820503533,0.729130745,0.646521688
0.721228242,0.727292657,0.679718673,0.834944487,0.76563859,0.585934937
0.733860135,0.748467922,0.637268126,0.834456801,0.772577286,0.572587967
0.734464943,0.754606664,0.627847373,0.843208611,0.773987412,0.559558332
0.739750028,0.755576253,0.618501902,0.839453101,0.779722333,0.562333047
0.739748895,0.759219408,0.614289701,0.840791643,0.781740963,0.557171047
0.740995109,0.761051655,0.61013788,0.838123798,0.780868113,0.559579909
0.740691662,0.760160923,0.611718357,0.842070937,0.78066206,0.55317241
0.742938578,0.761463284,0.607032597,0.842935205,0.779712796,0.554660022
0.743903816,0.763523042,0.602437735,0.846199334,0.785128474,0.545806885
0.745067656,0.764994383,0.598161638,0.84235841,0.782620788,0.55110389
0.744967997,0.764597118,0.599603772,0.844342053,0.783061802,0.547341883
0.745310664,0.766718984,0.596703231,0.83935976,0.783712864,0.553402603
0.74535352,0.764458716,0.5994789,0.849276125,0.780951321,0.541903436
0.747320414,0.767188728,0.592724144,0.845719576,0.788355052,0.542530477
0.745842278,0.767671168,0.593957126,0.835070193,0.786406517,0.561163843
0.746235728,0.768155217,0.593770266,0.845785499,0.787123203,0.541166782
0.746254146,0.768064857,0.593285084,0.850252688,0.783194542,0.541827083
0.742759526,0.761907518,0.605707705,0.845396101,0.786278784,0.545544386
0.746274412,0.768975317,0.591602266,0.84549135,0.785612464,0.542340875
0.748497665,0.770382345,0.586727262,0.84770447,0.788939714,0.537949741
0.749240816,0.770389259,0.586463451,0.849350572,0.790555298,0.534491956
0.750933111,0.774212301,0.578273356,0.850787938,0.788092613,0.536350071
0.748632789,0.76987493,0.5875718,0.846925676,0.789575577,0.537649214
0.750394881,0.770925522,0.582797229,0.85007143,0.795234263,0.529851496
0.7496472,0.775282502,0.578124046,0.841071188,0.790441275,0.547844172
0.753109634,0.773841739,0.576753318,0.850688457,0.788259685,0.532707095
0.75131923,0.774031997,0.57750082,0.846795678,0.790946007,0.536972821
0.752268195,0.775688231,0.574742734,0.85126096,0.79360044,0.528221607
0.755215943,0.778159261,0.567940891,0.850692749,0.793278456,0.529601812
0.752628684,0.777423024,0.572346151,0.849796116,0.794265747,0.531897187
0.751475573,0.774969995,0.576289475,0.844985962,0.791859865,0.536848843
0.754750013,0.776868105,0.570036113,0.85227114,0.795492649,0.52733171
0.75412035,0.778476119,0.56908983,0.85344851,0.795145273,0.522508383
0.756044686,0.780921638,0.56216383,0.847686172,0.787632644,0.536232591
0.754655421,0.777295232,0.569385171,0.855985105,0.797086477,0.51779294
0.757079482,0.782346606,0.55916208,0.848692,0.797763824,0.528852105
0.755334079,0.780783176,0.564112782,0.857500613,0.797985435,0.514917791
0.756112039,0.781541288,0.561080873,0.84763366,0.800455272,0.530902147
0.755686164,0.781288862,0.563547194,0.852866828,0.798581421,0.52072829
0.759253025,0.783873379,0.553554773,0.854383528,0.802667081,0.517921627
0.758834481,0.78508389,0.553599656,0.858568132,0.797198594,0.519734919
0.757632554,0.782544971,0.558505177,0.857581198,0.799079716,0.513799489
0.757772684,0.783917546,0.554836929,0.848101795,0.798494279,0.530005872
0.756450415,0.785687625,0.55554527,0.857660532,0.799643517,0.512942731
0.759764433,0.785581827,0.551054835,0.859092414,0.79989779,0.511008203
0.760221183,0.785832286,0.550557077,0.857705057,0.797455311,0.513095498
0.760943949,0.78726685,0.547358394,0.858715236,0.802293539,0.509505749
0.759797633,0.78616333,0.549132943,0.856022358,0.801445901,0.513545573
0.75883913,0.787492096,0.549075723,0.858644426,0.802590668,0.507884502
0.723164201,0.741900265,0.664548993,0.845009148,0.779673576,0.551441371
0.750335932,0.770034373,0.585316479,0.850434542,0.79621172,0.527483344
0.758422136,0.7831496,0.556224048,0.852564096,0.801424265,0.520632982
0.758242071,0.787774503,0.54914546,0.860200822,0.800390422,0.506158352
0.763524652,0.789189637,0.540852785,0.859207749,0.800513744,0.510420024
0.762293696,0.790917993,0.540463209,0.858822048,0.80324167,0.507986426
0.762810171,0.791672885,0.538468957,0.85569334,0.803096354,0.513549924
0.762904406,0.790680647,0.539545178,0.85602355,0.802748024,0.513546288
0.76404506,0.79122895,0.537652373,0.859136343,0.800970554,0.509242177
0.765092015,0.793325305,0.533375144,0.860669553,0.805372477,0.507437527
0.764959455,0.793294251,0.53208226,0.857079446,0.800451279,0.513260424
0.765624642,0.793450296,0.531955004,0.855553567,0.803055882,0.51495868
0.76436156,0.793687105,0.53381151,0.850427866,0.801592827,0.522982657
0.764913201,0.79165256,0.535483778,0.858940423,0.801627755,0.508598685
0.766600847,0.795302987,0.527905643,0.861362934,0.801757813,0.503676414
0.764476418,0.793824553,0.533096373,0.847346783,0.799215674,0.530576527
0.76500231,0.794407248,0.531333447,0.85738039,0.804805458,0.50898236
0.764664054,0.794411302,0.531345427,0.859865129,0.799666822,0.511694431
0.763544083,0.790792286,0.537784994,0.859781504,0.803376555,0.507078648
0.765767455,0.796576738,0.527438462,0.85821104,0.805713236,0.506667733
0.767394543,0.797224164,0.523613393,0.860195339,0.807102501,0.50186038
0.768079221,0.797260225,0.523581684,0.861297011,0.806427777,0.500855267
0.768008053,0.798636913,0.520575881,0.862183213,0.805377245,0.50686264
0.767358005,0.796550393,0.525034964,0.862089872,0.805893123,0.501395702
0.769341648,0.79819262,0.519732416,0.861538112,0.812772632,0.498298883
0.767190337,0.799883723,0.520128429,0.853827536,0.805853844,0.515168488
0.769806743,0.798178971,0.519995809,0.863519311,0.806672037,0.49658832
0.767355204,0.796765208,0.524201512,0.863518655,0.80757153,0.496234089
0.768890977,0.799409509,0.519351661,0.863255024,0.809261918,0.49675107
0.770860493,0.801024735,0.514735341,0.863339245,0.809000969,0.497912407
0.769271016,0.800624073,0.516650677,0.860181868,0.808811784,0.503645957
0.768886864,0.799822748,0.51815635,0.856552124,0.804812849,0.508797348
0.771227896,0.801202178,0.514153481,0.859846175,0.806875408,0.504810452
0.770823598,0.801903367,0.51286906,0.863022447,0.810267687,0.496508509
0.772140384,0.804270744,0.507547975,0.854566038,0.802845478,0.513571918
