accuracy,dice_coefficient,loss,val_accuracy,val_dice_coefficient,val_loss
0.55641371,0.562523723,1.098000288,0.692387104,0.62644887,0.932694674
0.589093983,0.611858487,0.975277543,0.697882712,0.644783854,0.881613255
0.609449923,0.628243804,0.92628926,0.725678086,0.661827683,0.828026533
0.621624053,0.641458988,0.896557212,0.736603379,0.687499285,0.798927665
0.641415298,0.652673841,0.862967432,0.769153416,0.655478954,0.790640891
0.64876771,0.661326289,0.845306158,0.779672265,0.671952844,0.760257959
0.662753284,0.672178328,0.816530228,0.759896219,0.714764595,0.737280369
0.670520008,0.680949092,0.79732883,0.781975687,0.713951826,0.710639477
0.682422578,0.689233184,0.77491039,0.790047586,0.680491567,0.738907754
0.684946537,0.69182694,0.767028987,0.800295413,0.716758192,0.688008249
0.688751698,0.697883189,0.755525708,0.800003648,0.717401206,0.680544794
0.690503061,0.698026776,0.75338161,0.802942514,0.724346519,0.670308769
0.695164561,0.704862356,0.739345133,0.806611955,0.732295394,0.66011256
0.701325059,0.709395289,0.728117466,0.811535656,0.731287718,0.653629065
0.699863911,0.709100604,0.72969687,0.810601175,0.731567264,0.659733891
0.702271998,0.712348521,0.722360313,0.795422971,0.746699095,0.664727867
0.707776129,0.719684482,0.706628621,0.814086914,0.741282761,0.638429403
0.711053729,0.722667396,0.698561788,0.814003289,0.750323057,0.627914906
0.710261941,0.721673429,0.699745059,0.820872188,0.745838583,0.630528867
0.713765025,0.72783339,0.688582301,0.819142461,0.756419659,0.618066072
0.714593649,0.726966679,0.689013124,0.822214365,0.742986381,0.626429081
0.713930786,0.726295173,0.690693021,0.824057639,0.74870646,0.618966341
0.716273189,0.729294896,0.68329066,0.826068103,0.757256329,0.605583012
0.718936026,0.730691731,0.678349078,0.821542978,0.762650847,0.605870605
0.722212255,0.734820008,0.668277383,0.824872434,0.763823032,0.600020349
0.723107517,0.741290748,0.658580184,0.827810645,0.764592767,0.592367172
0.72685951,0.737895489,0.658474565,0.829935312,0.769341111,0.587352574
0.726627827,0.74204886,0.653210938,0.831404448,0.771052122,0.580995739
0.728975475,0.745098293,0.646328568,0.832786262,0.769101918,0.580771804
0.731459618,0.746475339,0.642349184,0.823194563,0.765850782,0.593774557
0.726902366,0.744279087,0.651268303,0.833605945,0.771557748,0.580462873
0.72930336,0.745326161,0.645610273,0.81663084,0.772502124,0.603948593
0.729382813,0.743100524,0.649569988,0.828316033,0.773036242,0.585821033
0.728531599,0.744449258,0.647570848,0.8306427,0.772635996,0.581460953
0.735055029,0.752399504,0.629583597,0.837427974,0.770695865,0.571281195
0.735243142,0.75042367,0.63163805,0.833976448,0.78084439,0.571699381
0.736851931,0.75488615,0.624618709,0.833359957,0.780008435,0.572876036
0.734354734,0.753010452,0.629900753,0.842424929,0.776892304,0.558459997
0.736444235,0.754892945,0.624216557,0.831591189,0.780751586,0.573011518
0.736430526,0.754379034,0.625491977,0.842533588,0.772853971,0.561236322
0.741029561,0.758548617,0.613191783,0.841264665,0.785530686,0.554516554
0.740998387,0.760180056,0.611552835,0.84692502,0.777106285,0.553833008
0.740331173,0.759088039,0.613577366,0.845108032,0.780317724,0.55120039
0.737485349,0.756984532,0.619687319,0.837904036,0.783137083,0.564818561
0.739026725,0.761648536,0.610703111,0.845122099,0.780693769,0.547984302
0.743317366,0.762497962,0.605657578,0.845381498,0.783179939,0.546565533
0.743979514,0.763187766,0.603684604,0.846635759,0.780787945,0.547198713
0.744942248,0.765382886,0.599543393,0.840595722,0.778836489,0.557923675
0.743296504,0.763513982,0.6032148,0.849177837,0.786856532,0.541138113
0.745160758,0.76744324,0.595093548,0.845868528,0.789222836,0.54376477
0.70687902,0.721398473,0.71449995,0.829811394,0.761674702,0.593097448
0.735003173,0.749815345,0.632784069,0.843093872,0.782945395,0.55182445
0.743316174,0.762410104,0.605115712,0.845969856,0.784581602,0.544904709
0.744165421,0.767171264,0.597566724,0.843932509,0.7844491,0.54658705
0.748365581,0.767755687,0.591257155,0.847003758,0.791054726,0.539750934
0.747488379,0.770308137,0.589201868,0.842078865,0.788864791,0.547808707
0.746528327,0.768737316,0.592538655,0.84157896,0.787527502,0.547671914
0.747538805,0.769347489,0.590642512,0.847575068,0.790542066,0.537015438
0.750240505,0.771471322,0.584263504,0.844973743,0.788029015,0.542547345
0.750986814,0.773416877,0.580751956,0.851414204,0.791763902,0.530455768
0.752369165,0.774841785,0.575350046,0.850849628,0.790972054,0.53159976
0.752913713,0.775183558,0.575090528,0.851235986,0.793228567,0.527960896
0.751493633,0.775366485,0.576804876,0.849633813,0.793487847,0.532708943
0.752722383,0.773983181,0.577049136,0.854802251,0.791806817,0.526881695
0.752407491,0.775141358,0.576519668,0.851420283,0.791569471,0.527754843
0.752199948,0.776320457,0.573993921,0.843496084,0.793916285,0.543215156
0.752420306,0.776788116,0.573611081,0.850155652,0.793176472,0.5302037
0.752198994,0.776843071,0.574430704,0.855400383,0.786194205,0.528248429
0.752162457,0.77426368,0.576494217,0.845373511,0.796218157,0.538035393
0.753488421,0.779632568,0.568511069,0.850515127,0.792994738,0.529015124
0.754990101,0.778998733,0.566693723,0.855092168,0.798366666,0.518657625
0.755211413,0.778517365,0.56762141,0.853420436,0.797262132,0.522387445
0.756271482,0.782297373,0.560925007,0.856007099,0.796876311,0.518824816
0.756256819,0.780363798,0.563014627,0.858397841,0.797571838,0.513692677
0.758017719,0.782282472,0.557541907,0.856810331,0.798521399,0.515468836
0.756438971,0.784747481,0.556943953,0.849759519,0.794279218,0.526505649
0.760183692,0.78379482,0.553667068,0.858007789,0.799203336,0.512396574
0.757797241,0.782818913,0.556917608,0.851802349,0.800774574,0.522841573
0.758069694,0.784219086,0.556082666,0.860090971,0.801559985,0.509205401
0.761783063,0.787456095,0.547189474,0.858020604,0.803491592,0.510206044
0.758106828,0.785376489,0.55415386,0.853296518,0.798971713,0.522184849
0.757632673,0.784159601,0.556764543,0.85244143,0.797682285,0.521100104
0.760440171,0.785205483,0.551187217,0.850789785,0.799992561,0.524725437
0.758785427,0.785006344,0.553525329,0.850128174,0.801451445,0.524816096
0.761527002,0.788707256,0.544140756,0.857785642,0.802810252,0.508256495
0.761554837,0.787080467,0.546983004,0.857619643,0.803010821,0.510600388
0.76269424,0.791278124,0.539779127,0.85839355,0.802478254,0.509381115
0.76032275,0.788133264,0.547240257,0.862788081,0.803393841,0.500546992
0.762896121,0.791712165,0.538263977,0.857269287,0.805953681,0.508776844
0.761888564,0.789683461,0.543893635,0.862307131,0.803690434,0.499181837
0.764556646,0.791715741,0.53624481,0.857136846,0.808801055,0.511499941
0.764186025,0.793243647,0.535677135,0.862872899,0.802553236,0.507529855
0.763646364,0.791597724,0.538113832,0.861156642,0.800793409,0.505074501
0.763774037,0.792564392,0.535901666,0.859384179,0.80912149,0.506542802
0.763325214,0.795276999,0.53192395,0.863908052,0.802774966,0.501421809
0.765064716,0.793377221,0.53384316,0.861763895,0.806839883,0.502460241
0.765983045,0.794220328,0.531206667,0.863792717,0.806572318,0.499537498
0.766586542,0.795772374,0.528791785,0.861726701,0.805538535,0.499845952
0.765212655,0.793855488,0.531777263,0.859146118,0.80996412,0.504653037
0.764851928,0.796046853,0.529393137,0.862415791,0.807194412,0.499730289
0.7329680323600769,0.7551792860031128,0.6377190351486206,0.8548901081085205,0.7958120107650757,0.5253053307533264
0.7589266300201416,0.7827520370483398,0.5577791333198547,0.8575335741043091,0.8044900894165039,0.5099831819534302
0.7656826376914978,0.7935448884963989,0.5327799320220947,0.862455427646637,0.8047055006027222,0.4993208944797516
0.7646933794021606,0.7963603734970093,0.5290141105651855,0.8600439429283142,0.8038166165351868,0.5039972066879272
0.7689126133918762,0.7972053289413452,0.5227640867233276,0.864656388759613,0.8110762238502502,0.4955657124519348
0.7680690884590149,0.7993286848068237,0.5209964513778687,0.8583850264549255,0.8067944049835205,0.5071821808815002
0.7680351734161377,0.7992694973945618,0.5214771032333374,0.8542864918708801,0.8052935600280762,0.5167384743690491
0.767214834690094,0.7979900240898132,0.5235097408294678,0.8629699945449829,0.8075301051139832,0.49507007002830505
0.7691156268119812,0.7981941103935242,0.5212149024009705,0.8616265654563904,0.8060855865478516,0.5005525350570679
0.7694907188415527,0.8004568219184875,0.5182215571403503,0.8621667623519897,0.8098534941673279,0.4997459352016449
0.7702178955078125,0.800723671913147,0.5146484971046448,0.8605505228042603,0.8097165822982788,0.4997563064098358
0.7716829776763916,0.8024473190307617,0.5122708082199097,0.8623406887054443,0.8079819679260254,0.4991992115974426
0.7691928744316101,0.8011690974235535,0.5165647268295288,0.8606341481208801,0.8088757395744324,0.5024623870849609
0.7701700329780579,0.7995666265487671,0.517033040523529,0.8643505573272705,0.8096356987953186,0.49540942907333374
0.7715126872062683,0.8024818301200867,0.5114403367042542,0.8648943901062012,0.8138549327850342,0.48893216252326965
0.7705546617507935,0.8029823303222656,0.5119152069091797,0.8606030344963074,0.8118685483932495,0.5011627078056335
0.7714395523071289,0.8037327527999878,0.5094081163406372,0.8627997040748596,0.80813068151474,0.49545490741729736
0.7706332802772522,0.8035562634468079,0.5123044848442078,0.866349458694458,0.8065778017044067,0.4956047832965851
0.7696968913078308,0.8006690144538879,0.5161764621734619,0.8622784614562988,0.8081779479980469,0.5011760592460632
0.7709089517593384,0.8042605519294739,0.5091163516044617,0.8616144061088562,0.8101757168769836,0.4961177706718445
0.7724235653877258,0.8048357963562012,0.506540834903717,0.864762544631958,0.8140555620193481,0.49033400416374207
0.7727591395378113,0.8044978976249695,0.5071110129356384,0.8698297142982483,0.8120852708816528,0.4840345084667206
0.773820161819458,0.8077831268310547,0.5003330111503601,0.8674841523170471,0.812721848487854,0.4895872175693512
0.7736415863037109,0.805718719959259,0.5028921961784363,0.8656542897224426,0.8089227676391602,0.4906061589717865
0.7733271718025208,0.8056031465530396,0.5046849250793457,0.8646490573883057,0.8113094568252563,0.4933007061481476
0.7727674841880798,0.8079097867012024,0.5021646618843079,0.8652825951576233,0.8126302361488342,0.48821964859962463
0.7771263718605042,0.8086196780204773,0.4950690269470215,0.8671526908874512,0.8119149804115295,0.48928892612457275
0.7741497755050659,0.8071659207344055,0.5007873773574829,0.8646692037582397,0.812656044960022,0.4886302053928375
0.77458655834198,0.808143138885498,0.49962615966796875,0.8627331256866455,0.8111125826835632,0.49581578373908997
0.7763535380363464,0.8092375993728638,0.495438814163208,0.863631010055542,0.8126171827316284,0.4934306740760803
0.7734822034835815,0.8072620630264282,0.5028123259544373,0.858508288860321,0.8088390827178955,0.508324384689331
0.7724854946136475,0.8058355450630188,0.5061824917793274,0.8666113018989563,0.8096203207969666,0.4923070967197418
0.7759718298912048,0.8079084157943726,0.4981042146682739,0.8592370748519897,0.8092334270477295,0.5047301650047302
0.7745832800865173,0.8077839612960815,0.5007839798927307,0.860090970993042,0.809691309928894,0.5002397298812866
0.7754015922546387,0.8091352581977844,0.4958970844745636,0.859771728515625,0.8090851902961731,0.5026417374610901
0.7758486270904541,0.8090157508850098,0.4960482120513916,0.8657586574554443,0.8144969344139099,0.48930129408836365
0.777804434299469,0.8130441904067993,0.48773691058158875,0.8680608868598938,0.8154056072235107,0.48552557826042175
0.7755761742591858,0.8102961778640747,0.4955717921257019,0.869415283203125,0.8121474385261536,0.4862830638885498
0.7773582935333252,0.8128191232681274,0.4886753559112549,0.8659856915473938,0.8173540830612183,0.4903073012828827
0.7760488390922546,0.8108981251716614,0.49412834644317627,0.8607861399650574,0.8090407848358154,0.4984495937824249
0.7779106497764587,0.8114849328994751,0.4896593987941742,0.8655139207839966,0.8189533352851868,0.4895758330821991
0.778501570224762,0.8140859603881836,0.48617225885391235,0.8704931735992432,0.8155200481414795,0.4860355257987976
0.7777566909790039,0.8126157522201538,0.48918676376342773,0.8676245212554932,0.8141028881072998,0.4866289496421814
0.7785247564315796,0.814093291759491,0.48462802171707153,0.8646411299705505,0.816730797290802,0.49359169602394104
0.7772984504699707,0.8163620233535767,0.48301592469215393,0.8690161108970642,0.816601037979126,0.48164790868759155
0.7798365354537964,0.8150924444198608,0.4813263416290283,0.8719183206558228,0.8182789087295532,0.48070740699768066
0.7796358466148376,0.8146406412124634,0.483881413936615,0.8683972358703613,0.8133754134178162,0.48421910405158997
0.780270516872406,0.8161288499832153,0.48028481006622314,0.8691937327384949,0.8149774074554443,0.48674023151397705
0.7795804738998413,0.8148601651191711,0.4818398952484131,0.8717437982559204,0.8219093084335327,0.4727018475532532
0.7768750190734863,0.8136119842529297,0.48857083916664124,0.8693566918373108,0.8188790082931519,0.47925978899002075
0.7599360346794128,0.7905774712562561,0.5494858026504517,0.8691137433052063,0.8127390146255493,0.48808014392852783
0.7752246260643005,0.8071100115776062,0.5004109740257263,0.8684228658676147,0.8187128901481628,0.4810122549533844
0.7796885967254639,0.8148380517959595,0.48248565196990967,0.8673394918441772,0.8161596655845642,0.48348867893218994
0.778533935546875,0.8170825839042664,0.4806189239025116,0.8672857880592346,0.811278223991394,0.4890930950641632
0.7823286056518555,0.8174766302108765,0.47497493028640747,0.8719989061355591,0.8209502696990967,0.4740821123123169
0.7811989784240723,0.8190180659294128,0.4738348126411438,0.8656750321388245,0.8160623908042908,0.4904695749282837
0.7818306684494019,0.8196392059326172,0.47233283519744873,0.862396240234375,0.8183969259262085,0.4973992109298706
0.7815046310424805,0.8190656900405884,0.47345098853111267,0.8685009479522705,0.8165885210037231,0.48292168974876404
0.7832838296890259,0.8195351362228394,0.4708201289176941,0.8701537847518921,0.817814826965332,0.48142996430397034
0.7828871011734009,0.8204187154769897,0.46991685032844543,0.8696655035018921,0.819342851638794,0.48189684748649597
0.7828164100646973,0.8203611373901367,0.4689292907714844,0.8668695092201233,0.8166996836662292,0.4875355064868927
0.7843787670135498,0.8212626576423645,0.4660075604915619,0.8670623898506165,0.8193929195404053,0.4835071861743927
0.7826240062713623,0.8213693499565125,0.46877408027648926,0.8655670285224915,0.8195419907569885,0.49051177501678467
0.7829204201698303,0.8188599348068237,0.4718019366264343,0.8694329857826233,0.8187834024429321,0.48381754755973816
0.7840874195098877,0.8213264346122742,0.46660763025283813,0.8711664080619812,0.8227692246437073,0.4769880175590515
0.7831711173057556,0.8219757080078125,0.46732857823371887,0.8668481707572937,0.8207319378852844,0.48679664731025696
0.7841200232505798,0.8220523595809937,0.4653078317642212,0.8667041063308716,0.8186137676239014,0.4889305531978607
0.7826610207557678,0.8216348886489868,0.46912848949432373,0.870634138584137,0.8164085745811462,0.48293647170066833
0.7817009091377258,0.8183431625366211,0.47442030906677246,0.8678722977638245,0.8233369588851929,0.4870520830154419
0.7830870151519775,0.8222662806510925,0.46654948592185974,0.8681066632270813,0.8208709359169006,0.4818035960197449
0.7851791977882385,0.8237043619155884,0.4615797698497772,0.8726837038993835,0.824303925037384,0.4757184684276581
0.7850145101547241,0.8230925798416138,0.46291276812553406,0.8717901706695557,0.8205907940864563,0.4794620871543884
0.7855935096740723,0.8256772756576538,0.457675039768219,0.8694238066673279,0.8196948170661926,0.48475590348243713
0.785844087600708,0.8240157961845398,0.459612101316452,0.8714105486869812,0.8192410469055176,0.47917088866233826
0.7863504886627197,0.8244317173957825,0.45885246992111206,0.863452136516571,0.8153820633888245,0.4974536597728729
0.7836513519287109,0.8246886134147644,0.4625474214553833,0.8716815114021301,0.8186274170875549,0.47753143310546875
0.7880119681358337,0.8249861001968384,0.4559871554374695,0.8712634444236755,0.820810079574585,0.4796329140663147
0.785722017288208,0.8243399858474731,0.45983293652534485,0.870745837688446,0.8214401006698608,0.4803367555141449
0.7860487103462219,0.8257378339767456,0.4582339823246002,0.8735864162445068,0.8248136043548584,0.4738317131996155
0.7872756123542786,0.8254815340042114,0.4562623202800751,0.8630785942077637,0.8195133805274963,0.49637892842292786
0.7849199175834656,0.8242225646972656,0.46196430921554565,0.8627954125404358,0.8172295093536377,0.49688148498535156
0.7859311699867249,0.8255360722541809,0.4588187336921692,0.8701745867729187,0.8207575082778931,0.4823243319988251
0.7885034084320068,0.8269505500793457,0.4530196785926819,0.8601049780845642,0.8133713603019714,0.5049927234649658
0.7862020134925842,0.8252297639846802,0.45827722549438477,0.8663153052330017,0.8218156099319458,0.48550552129745483
0.7872089743614197,0.8271434903144836,0.4537830650806427,0.8634613156318665,0.8158287405967712,0.4921954274177551
0.7872358560562134,0.8253884315490723,0.4562031924724579,0.871478259563446,0.8250753879547119,0.4822099208831787
0.7886525988578796,0.8296675682067871,0.4491572082042694,0.867551863193512,0.8208698630332947,0.48663330078125
0.7876673340797424,0.8284182548522949,0.45144808292388916,0.8733581304550171,0.823067843914032,0.4742036759853363
0.7887121438980103,0.830125629901886,0.44764527678489685,0.8707873821258545,0.8214786648750305,0.4820590913295746
0.7886021733283997,0.8289386630058289,0.4497649371623993,0.8701055645942688,0.8204841613769531,0.48045435547828674
